14:02:11.820 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 12776 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:02:11.829 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:02:16.141 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 4.895 seconds (JVM running for 6.36)
14:02:26.563 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
14:06:19.346 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 16976 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:06:19.353 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:06:23.608 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 4.755 seconds (JVM running for 6.109)
14:06:23.819 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:06:23.819 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:06:23.819 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:06:23.819 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:06:23.820 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:06:23.819 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:06:23.820 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:06:23.820 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:06:23.820 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:06:23.820 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:06:23.983 [pool-3-thread-4] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
14:06:33.864 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
14:06:33.881 [Thread-2] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
14:10:49.010 [main] INFO  com.bmw.seed.test.DemoTest - Starting DemoTest on LAPTOP-E6B2N0T6 with PID 14436 (started by yuxc in E:\yuxc\xyz\bimowu-Study\case-seckill)
14:10:49.018 [main] INFO  com.bmw.seed.test.DemoTest - No active profile set, falling back to default profiles: default
14:10:53.314 [main] INFO  com.bmw.seed.test.DemoTest - Started DemoTest in 4.839 seconds (JVM running for 6.156)
14:10:53.530 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:10:53.530 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:10:53.530 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:10:53.530 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:10:53.530 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ===开始调用秒杀接口
14:10:53.531 [pool-3-thread-3] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:10:53.531 [pool-3-thread-5] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:10:53.531 [pool-3-thread-4] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:10:53.531 [pool-3-thread-2] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
14:10:53.531 [pool-3-thread-1] INFO  com.bmw.seed.service.impl.SeckillServiceImpl - ======验证参数=======
